名字,导演,主演,年份,时长,国家,类型,评分,评论人数,五星,四星,三星,二星,一星
龙猫,宫崎骏,日高法子,1988,86,日本,动画 / 家庭 / 儿童 / 奇幻,9.1,453848,63.7,29.6,6.3,0.3,0.1
美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼,1997,116,意大利,剧情 / 喜剧 / 爱情 / 战争,9.5,454658,77.7,19.1,2.9,0.2,0.1
无间道,刘伟强 / 麦兆辉,刘德华,2003,101,香港,剧情 / 悬疑 / 犯罪,9.0,436899,59.1,33.7,6.8,0.3,0.1
大话西游之月光宝盒,刘镇伟,周星驰,2014,87,香港 / 中国大陆,喜剧 / 爱情 / 奇幻 / 冒险,8.9,431480,57.1,33.1,9.0,0.6,0.2
罗马假日,威廉·惠勒,奥黛丽·赫本,1953,118,美国,剧情 / 喜剧 / 爱情,8.9,411852,56.1,35.3,8.2,0.4,0.1
V字仇杀队,詹姆斯·麦克特格,娜塔莉·波特曼,2005,132,美国 / 英国 / 德国,剧情 / 动作 / 科幻 / 惊悚,8.8,446154,54.7,33.5,10.2,1.2,0.4
辛德勒的名单,史蒂文·斯皮尔伯格,连姆·尼森,1993,195,美国,剧情 / 历史 / 战争,9.4,415129,74.8,21.8,3.1,0.2,0.1
黑天鹅,达伦·阿伦诺夫斯基,娜塔莉·波特曼,2010,108,美国,剧情 / 惊悚,8.5,427669,40.4,45.8,12.7,0.9,0.2
人再囧途之泰囧,徐峥,徐峥,2012,105,中国大陆,喜剧,7.4,443347,19.6,41.1,32.3,5.2,1.7
贫民窟的百万富翁,丹尼·博伊尔 / 洛芙琳·坦丹,戴夫·帕特尔,2009,120,英国 / 美国,剧情 / 爱情,8.5,404916,40.5,45.1,13.4,0.8,0.2
本杰明·巴顿奇事,大卫·芬奇,凯特·布兰切特,2008,166,美国,剧情 / 爱情 / 奇幻,8.7,412898,49.9,38.4,10.8,0.8,0.1
蝴蝶效应,埃里克·布雷斯 / J·麦基·格鲁伯,阿什顿·库彻,2004,113,美国 / 加拿大,剧情 / 科幻 / 悬疑 / 惊悚,8.7,400076,47.2,40.8,10.9,0.8,0.2
情书,岩井俊二,中山美穗,1999,117,日本,剧情 / 爱情,8.8,397691,53.6,34.9,10.5,0.8,0.2
源代码,邓肯·琼斯,杰克·吉伦哈尔,2011,93,美国 / 加拿大,爱情 / 科幻 / 悬疑 / 惊悚,8.3,412121,34.0,49.8,15.2,0.9,0.1
失恋33天,滕华涛,白百何,2011,110,中国大陆,剧情 / 爱情,7.3,391163,14.9,42.0,37.1,4.9,1.1
摔跤吧！爸爸,涅提·蒂瓦里,阿米尔·汗,2017,161,印度,剧情 / 家庭 / 传记 / 运动,9.1,473481,61.8,31.7,5.9,0.4,0.2
战狼2,吴京,吴京,2017,123,中国大陆,动作,7.2,476424,20.9,36.2,30.2,7.7,5.0
你的名字。,新海诚,神木隆之介,2016,106,日本,剧情 / 爱情 / 动画,8.4,462571,43.4,38.2,16.2,1.7,0.5
沉默的羔羊,乔纳森·戴米,朱迪·福斯特,1991,118,美国,剧情 / 惊悚 / 犯罪,8.7,371107,48.0,41.2,10.0,0.6,0.1
教父,弗朗西斯·福特·科波拉,马龙·白兰度,1972,175,美国,剧情 / 犯罪,9.2,370723,68.0,25.4,5.9,0.5,0.2
西西里的美丽传说,朱塞佩·托纳多雷,莫妮卡·贝鲁奇,2000,84,意大利 / 美国,剧情 / 情色 / 战争,8.7,369989,48.2,41.1,10.0,0.6,0.1
哈尔的移动城堡,宫崎骏,倍赏千惠子,2004,119,日本,爱情 / 动画 / 奇幻 / 冒险,8.9,376682,54.7,35.4,9.2,0.6,0.1
加勒比海盗,戈尔·维宾斯基,约翰尼·德普,2003,143,美国,动作 / 奇幻 / 冒险,8.6,359805,43.5,43.5,12.2,0.7,0.1
神偷奶爸,皮埃尔·柯芬 / 克里斯·雷纳德,史蒂夫·卡瑞尔,2010,95,美国 / 法国,喜剧 / 动画 / 冒险,8.5,390383,40.4,45.5,13.3,0.7,0.1
触不可及,奥利维埃·纳卡什 / 埃里克·托莱达诺,弗朗索瓦·克鲁塞,2011,112,法国,剧情 / 喜剧,9.1,397364,63.4,30.8,5.4,0.3,0.1
天空之城,宫崎骏,田中真弓,1992(中国大陆) / 1986,125,日本,动画 / 奇幻 / 冒险,9.0,356374,58.7,33.8,7.1,0.3,0.1
禁闭岛,马丁·斯科塞斯,莱昂纳多·迪卡普里奥,2010,138,美国,剧情 / 悬疑 / 惊悚,8.6,375961,44.6,44.1,10.5,0.7,0.2
老炮儿,管虎,冯小刚,2015,137,中国大陆,剧情 / 犯罪,7.9,413494,29.6,42.8,22.3,3.6,1.7
美人鱼,周星驰,邓超,2016,93,中国大陆 / 香港,喜剧 / 爱情 / 奇幻,6.8,416613,14.4,30.5,38.2,12.0,4.9
重庆森林,王家卫,林青霞,1994,102,香港,剧情 / 爱情,8.7,345862,47.1,40.1,11.6,0.9,0.3
北京遇上西雅图,薛晓路,汤唯,2013,123,中国大陆 / 香港,喜剧 / 爱情,7.4,378078,16.4,43.0,34.4,4.9,1.3
疯狂原始人,柯克·德·米科 / 克里斯·桑德斯,尼古拉斯·凯奇,2013,98,美国,喜剧 / 动画 / 冒险,8.7,380391,48.5,38.8,11.7,0.7,0.2
低俗小说,昆汀·塔伦蒂诺,约翰·特拉沃尔塔,1994,154,美国,剧情 / 喜剧 / 犯罪,8.8,352347,51.6,36.5,10.6,1.0,0.3
闻香识女人,马丁·布莱斯,阿尔·帕西诺,1992,157,美国,剧情,8.9,344296,55.6,35.6,8.2,0.5,0.1
唐伯虎点秋香,李力持,周星驰,1993,102,香港,喜剧 / 爱情 / 古装,8.4,335020,37.8,45.4,15.7,1.0,0.2
穿普拉达的女王,大卫·弗兰科尔,安妮·海瑟薇,2007,109,美国 / 法国,剧情 / 爱情,7.9,337940,23.6,50.9,24.1,1.3,0.2
致命魔术,克里斯托弗·诺兰,休·杰克曼,2006,130,美国 / 英国,剧情 / 悬疑 / 惊悚,8.8,362827,50.9,39.0,9.3,0.7,0.2
后会无期,韩寒,冯绍峰,2014,104,中国大陆,剧情,7.1,390032,16.7,36.4,35.7,8.1,3.1
断背山,李安,希斯·莱杰,2005,134,美国 / 加拿大,剧情 / 爱情 / 同性 / 家庭,8.6,332815,47.3,38.5,13.1,0.9,0.2
国王的演讲,汤姆·霍珀,科林·费尔斯,2012,118,英国 / 澳大利亚 / 美国,剧情 / 传记 / 历史,8.3,341635,32.5,51.3,15.3,0.8,0.2
超能陆战队,唐·霍尔 / 克里斯·威廉姆斯,斯科特·安第斯,2015,102,美国,喜剧 / 动作 / 科幻 / 动画 / 冒险,8.6,377546,44.5,41.6,12.8,0.9,0.2
告白,中岛哲也,松隆子,2010,106,日本,剧情 / 惊悚,8.7,356143,49.0,37.9,11.1,1.4,0.6
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰,克里斯蒂安·贝尔,2008,152,美国 / 英国,剧情 / 动作 / 科幻 / 惊悚 / 犯罪,9.0,349967,61.9,29.3,7.9,0.6,0.2
天堂电影院,朱塞佩·托纳多雷,安东内拉·阿蒂利,1988,155,意大利 / 法国,剧情 / 爱情,9.1,328562,63.7,29.7,6.1,0.4,0.1
中国合伙人,陈可辛,黄晓明,2013,112,中国大陆 / 香港,剧情,7.6,361707,19.2,47.1,29.2,3.6,0.9
消失的爱人,大卫·芬奇,本·阿弗莱克,2014,149,美国,剧情 / 悬疑 / 惊悚 / 犯罪,8.7,369945,46.9,42.9,9.4,0.7,0.2
指环王1：魔戒再现,彼得·杰克逊,伊利亚·伍德,2002,178,新西兰 / 美国,剧情 / 动作 / 奇幻 / 冒险,8.9,320401,56.7,33.1,9.3,0.7,0.2
美丽心灵,朗·霍华德,罗素·克劳,2001,135,美国,剧情 / 传记,8.9,322581,54.0,37.7,7.8,0.4,0.1
西游降魔篇,周星驰 / 郭子健,文章,2013,110,中国大陆 / 香港,喜剧 / 奇幻 / 冒险,7.1,361136,14.9,38.5,35.9,8.1,2.7
勇敢的心,梅尔·吉布森,梅尔·吉布森,1995,177,美国,剧情 / 动作 / 传记 / 历史 / 战争,8.8,307443,53.3,35.5,10.2,0.8,0.2
志明与春娇,彭浩翔,杨千嬅,2010,104,香港,剧情 / 喜剧 / 爱情,8.0,331180,27.3,47.9,22.3,2.1,0.4
西游记之大圣归来,田晓鹏,张磊,2015,89,中国大陆,喜剧 / 动作 / 动画 / 奇幻,8.2,381884,38.1,39.7,18.5,2.6,1.1
夏洛特烦恼,闫非 / 彭大魔,沈腾,2015,104,中国大陆,喜剧 / 爱情,7.4,377725,23.4,38.0,28.4,6.9,3.3
寻梦环游记,李·昂克里奇 / 阿德里安·莫利纳,安东尼·冈萨雷斯,2017,105,美国,喜剧 / 动画 / 音乐 / 家庭 / 冒险,9.1,398968,60.6,32.0,6.8,0.4,0.1
两小无猜,杨·塞谬尔,吉约姆·卡内,2003,93,法国 / 比利时,剧情 / 喜剧 / 爱情,8.1,316742,36.9,38.1,19.4,3.9,1.6
疯狂的石头,宁浩,郭涛,2006,106,中国大陆 / 香港,喜剧 / 犯罪,8.2,315585,34.2,46.3,17.6,1.6,0.4
釜山行,延尚昊,孔侑,2016,118,韩国,动作 / 惊悚 / 灾难,8.3,375028,34.2,47.0,16.6,1.6,0.6
傲慢与偏见,乔·赖特,凯拉·奈特莉,2005,129,法国 / 英国 / 美国,剧情 / 爱情,8.4,309910,40.2,43.5,14.9,1.2,0.3
致命ID,詹姆斯·曼高德,约翰·库萨克,2003,90,美国,剧情 / 悬疑 / 惊悚,8.6,332432,44.6,43.7,10.7,0.8,0.2
入殓师,泷田洋二郎,本木雅弘,2008,130,日本,剧情,8.8,330336,50.5,39.5,9.4,0.5,0.1
喜剧之王,周星驰 / 李力持,周星驰,1999,85,香港,剧情 / 喜剧 / 爱情,8.5,324951,42.3,42.4,14.2,0.9,0.1
狮子王,罗杰·阿勒斯 / 罗伯·明可夫,乔纳森·泰勒·托马斯,1995,89,美国,剧情 / 动画 / 歌舞 / 家庭 / 冒险,8.9,298603,54.5,36.2,8.9,0.3,0.1
致我们终将逝去的青春,赵薇,杨子姗,2013,132,中国大陆,剧情 / 爱情,6.6,339493,10.3,30.0,43.0,12.5,4.3
真爱至上,理查德·柯蒂斯,休·格兰特,2003,135,英国 / 美国 / 法国,剧情 / 喜剧 / 爱情,8.5,323562,44.5,38.7,15.2,1.3,0.3
功夫熊猫,马克·奥斯本 / 约翰·斯蒂文森,杰克·布莱克,2008,95,美国,喜剧 / 动作 / 动画 / 冒险,7.9,302419,24.7,49.3,24.0,1.7,0.3
指环王3：王者无敌,彼得·杰克逊,维果·莫腾森,2004,201,美国 / 新西兰,剧情 / 动作 / 奇幻 / 冒险,9.1,304128,63.7,28.1,7.4,0.5,0.2
王牌特工：特工学院,马修·沃恩,塔伦·埃格顿,2015,125,英国 / 美国,喜剧 / 动作 / 冒险,8.4,351163,39.5,43.7,14.9,1.5,0.4
湄公河行动,林超贤,张涵予,2016,124,中国大陆 / 香港,动作 / 犯罪,8.0,366071,28.3,46.3,22.1,2.6,0.7
恐怖游轮,克里斯托弗·史密斯,梅利莎·乔治,2009,99,英国 / 澳大利亚,剧情 / 悬疑 / 惊悚,8.3,329288,37.2,44.7,15.9,1.7,0.5
复仇者联盟,乔斯·韦登,小罗伯特·唐尼,2012,142,美国,动作 / 科幻 / 奇幻 / 冒险,8.0,327110,28.6,46.2,22.2,2.3,0.6
黑客帝国,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯,1999,136,美国 / 澳大利亚,动作 / 科幻,8.8,296110,53.5,35.1,10.5,0.8,0.2
岁月神偷,罗启锐,吴君如,2010,117,香港 / 中国大陆,剧情 / 家庭,8.6,315225,45.8,40.8,12.3,0.9,0.2
乱世佳人,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,托马斯·米切尔,1939,238,美国,剧情 / 爱情 / 历史 / 战争,9.2,289607,67.2,26.9,5.4,0.3,0.1
金陵十三钗,张艺谋,克里斯蒂安·贝尔,2011,145,中国大陆 / 香港,剧情 / 历史 / 战争,8.0,322570,29.3,45.7,20.9,2.8,1.2
和莎莫的500天,马克·韦布,约瑟夫·高登-莱维特,2009,95,美国,剧情 / 喜剧 / 爱情,8.0,313131,27.3,48.1,22.3,1.9,0.4
爱乐之城,达米恩·查泽雷,瑞恩·高斯林,2017,128,美国,剧情 / 爱情 / 歌舞,8.3,359990,40.5,39.0,17.4,2.5,0.7
寻龙诀,乌尔善,陈坤,2015,125,中国大陆 / 香港,剧情 / 动作 / 奇幻 / 冒险,7.5,347661,19.4,44.6,29.6,4.9,1.4
布达佩斯大饭店,韦斯·安德森,拉尔夫·费因斯,2014,99,美国 / 德国 / 英国,剧情 / 喜剧,8.8,327144,50.2,38.4,10.3,0.9,0.2
人在囧途,叶伟民,徐峥,2010,91,中国大陆,喜剧,7.5,301912,15.2,47.4,33.1,3.6,0.7
指环王2：双塔奇兵,彼得·杰克逊,伊利亚·伍德,2003,179,美国 / 新西兰,剧情 / 动作 / 奇幻 / 冒险,9.0,286527,58.0,32.6,8.6,0.6,0.2
活着,张艺谋,葛优,1994,132,中国大陆 / 香港,剧情 / 家庭 / 历史,9.1,292552,61.8,31.6,6.1,0.4,0.1
冰川时代,卡洛斯·沙尔丹哈 / 克里斯·韦奇,雷·罗马诺,2002,81,美国,喜剧 / 动画 / 冒险,8.4,276908,37.2,48.3,13.8,0.6,0.1
飞越疯人院,米洛斯·福尔曼,杰克·尼科尔森,1975,133,美国,剧情,9.0,292336,59.9,32.3,7.1,0.5,0.2
2012,罗兰·艾默里奇,约翰·库萨克,2009,158,美国 / 加拿大,动作 / 科幻 / 冒险 / 灾难,7.7,293317,20.5,48.9,27.4,2.7,0.6
死亡诗社,彼得·威尔,罗宾·威廉姆斯,1989,128,美国,剧情,8.9,297135,57.3,33.6,8.3,0.7,0.2
恋恋笔记本,尼克·卡萨维茨,瑞恩·高斯林,2004,123,美国,剧情 / 爱情,8.5,290002,41.9,41.1,15.3,1.4,0.3
秒速5厘米,新海诚,水桥研二,2007,63,日本,剧情 / 爱情 / 动画,8.3,301660,41.7,36.6,18.3,2.6,0.7
射雕英雄传之东成西就,刘镇伟,梁朝伟,1993,113,香港,喜剧 / 古装,8.7,287205,52.5,32.7,12.5,1.7,0.6
阳光灿烂的日子,姜文,夏雨,1995,134,中国大陆 / 香港,剧情,8.7,283147,49.0,40.2,10.0,0.6,0.1
功夫,周星驰,周星驰,2004,100,中国大陆 / 香港,喜剧 / 动作 / 犯罪 / 奇幻,8.0,286014,31.0,40.8,25.1,2.7,0.4
朗读者,史蒂芬·戴德利,凯特·温丝莱特,2008,124,美国 / 德国,剧情 / 爱情,8.5,282278,39.3,47.0,12.9,0.7,0.1
蓝色大门,易智言,陈柏霖,2002,85,台湾 / 法国,剧情 / 爱情 / 同性,8.3,273655,35.4,44.2,18.7,1.4,0.2
被嫌弃的松子的一生,中岛哲也,中谷美纪,2006,130,日本,剧情 / 歌舞,8.9,306427,55.7,33.5,9.2,1.1,0.4
暮光之城,凯瑟琳·哈德威克,克里斯汀·斯图尔特,2009,122,美国,剧情 / 爱情 / 惊悚 / 奇幻,7.3,280799,18.7,38.3,34.1,6.7,2.1
我的野蛮女友,郭在容,车太贤,2001,123,韩国,剧情 / 喜剧 / 爱情,8.1,269766,30.4,45.5,22.4,1.5,0.3
记忆碎片,克里斯托弗·诺兰,盖·皮尔斯,2000,113,美国,剧情 / 悬疑 / 惊悚 / 犯罪,8.5,287070,42.8,42.9,12.8,1.2,0.3
两杆大烟枪,盖·里奇,杰森·弗莱明,1998,107,英国,剧情 / 喜剧 / 犯罪,9.1,288529,61.0,31.5,6.8,0.6,0.2
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰,克里斯蒂安·贝尔,2012,165,美国 / 英国,剧情 / 动作 / 科幻 / 惊悚 / 犯罪,8.6,300096,44.2,41.1,13.1,1.2,0.3
心灵捕手,格斯·范·桑特,马特·达蒙,1997,126,美国,剧情,8.8,284704,49.0,40.7,9.6,0.6,0.1
东邪西毒,王家卫,张国荣,1994,100,香港 / 台湾,剧情 / 动作 / 爱情 / 武侠 / 古装,8.6,257783,46.3,38.3,13.5,1.5,0.5
驯龙高手,迪恩·德布洛斯 / 克里斯·桑德斯,杰伊·巴鲁切尔,2010,98,美国,喜剧 / 动画 / 家庭 / 奇幻 / 冒险,8.7,294812,45.7,42.2,11.4,0.6,0.1
一天,罗勒·莎菲,安妮·海瑟薇,2011,107,美国 / 英国,剧情 / 爱情,7.8,289112,24.7,44.4,27.5,3.0,0.4
倩女幽魂,程小东,张国荣,2011,98,香港,剧情 / 爱情 / 武侠 / 古装,8.6,262920,43.8,43.9,11.7,0.5,0.1
冰雪奇缘,克里斯·巴克 / 珍妮弗·李,克里斯汀·贝尔,2014,102,美国,喜剧 / 动画 / 歌舞 / 奇幻,8.3,309570,34.9,45.3,18.1,1.5,0.3
听说,郑芬芬,彭于晏,2015,107,台湾,剧情 / 爱情,8.1,279729,28.7,48.5,21.1,1.6,0.2
香水,汤姆·提克威,本·卫肖,2006,147,德国 / 法国 / 西班牙 / 美国,剧情 / 犯罪 / 奇幻,8.4,280701,40.2,43.4,14.3,1.5,0.5
哈利·波特与死亡圣器(下),大卫·叶茨,丹尼尔·雷德克里夫,2011,130,美国 / 英国,剧情 / 悬疑 / 奇幻 / 冒险,8.6,280415,49.0,36.0,13.5,1.1,0.4
他其实没那么喜欢你,肯·卡皮斯,詹妮弗·安妮斯顿,2009,129,美国 / 德国 / 荷兰,剧情 / 喜剧 / 爱情,7.7,279264,20.8,47.7,28.9,2.2,0.3
哈利·波特与魔法石,克里斯·哥伦布,丹尼尔·雷德克里夫,2002,152,美国 / 英国,奇幻 / 冒险,8.7,270131,48.4,39.3,11.5,0.6,0.2
驴得水,周申 / 刘露,任素汐,2016,111,中国大陆,剧情 / 喜剧,8.3,326154,38.3,42.8,15.3,2.6,1.0
一代宗师,王家卫,梁朝伟,2013,111,中国大陆 / 香港,剧情 / 动作 / 传记,7.8,294539,26.8,42.9,24.7,4.2,1.4
看不见的客人,奥里奥尔·保罗,马里奥·卡萨斯,2017,106,西班牙,剧情 / 悬疑 / 惊悚 / 犯罪,8.8,327646,47.6,43.0,8.9,0.4,0.1
史密斯夫妇,道格·里曼,布拉德·皮特,2005,120,美国,喜剧 / 动作 / 爱情,7.6,258005,17.9,46.3,32.5,2.8,0.5
非诚勿扰,冯小刚,葛优,2008,130,中国大陆,喜剧 / 爱情,7.1,262335,11.2,41.6,40.6,5.4,1.1
火星救援,雷德利·斯科特,马特·达蒙,2015,144,美国 / 英国,剧情 / 科幻 / 冒险,8.4,309218,35.5,49.1,14.3,0.9,0.2
风声,陈国富 / 高群书,周迅,2009,118,中国大陆,剧情 / 惊悚 / 战争 / 犯罪,8.0,277646,25.5,53.2,19.6,1.4,0.3
春娇与志明,彭浩翔,杨千嬅,2012,111,香港 / 中国大陆,剧情 / 喜剧 / 爱情,7.3,270084,16.5,41.2,35.6,5.5,1.2
阳光姐妹淘,姜炯哲,沈恩京,2011,124,韩国,剧情 / 喜剧,8.8,280419,51.3,37.2,10.3,0.9,0.3
社交网络,大卫·芬奇,杰西·艾森伯格,2010,120,美国,剧情 / 传记,8.1,270704,29.0,50.1,19.4,1.3,0.2
血战钢锯岭,梅尔·吉布森,安德鲁·加菲尔德,2016,139,美国 / 澳大利亚,剧情 / 传记 / 历史 / 战争,8.7,315317,46.9,41.4,10.6,0.8,0.3
功夫熊猫2,吕寅荣,杰克·布莱克,2011,91,美国,喜剧 / 动作 / 动画 / 冒险,8.0,270570,26.6,48.3,23.1,1.7,0.3
画皮,陈嘉上 / 钱永强,甄子丹,2008,103,中国大陆 / 香港 / 新加坡,剧情 / 爱情 / 惊悚 / 奇幻,6.5,253652,6.2,28.8,52.2,10.7,2.1
不能说的秘密,周杰伦,周杰伦,2007,101,香港 / 台湾,剧情 / 爱情 / 音乐 / 奇幻,7.6,260085,22.6,40.5,32.3,3.9,0.7
乘风破浪,韩寒,邓超,2017,102,中国大陆,剧情 / 喜剧,6.8,315414,11.2,33.9,41.3,10.1,3.5
猜火车,丹尼·博伊尔,伊万·麦克格雷格,1996,94,英国,剧情 / 犯罪,8.5,253702,43.8,40.5,14.0,1.4,0.4
花样年华,王家卫,梁朝伟,2000,98,香港 / 法国,剧情 / 爱情,8.5,252657,40.8,44.8,13.3,0.9,0.2
拯救大兵瑞恩,史蒂文·斯皮尔伯格,汤姆·汉克斯,1998,169,美国,剧情 / 历史 / 战争,8.9,251599,53.2,37.5,8.6,0.5,0.1
大鱼,蒂姆·波顿,伊万·麦克格雷格,2003,125,美国,剧情 / 家庭 / 奇幻 / 冒险,8.7,263174,50.1,38.0,10.8,0.9,0.2
音乐之声,罗伯特·怀斯,朱莉·安德鲁斯,1965,174,美国,剧情 / 爱情 / 歌舞 / 传记,8.9,243610,55.3,35.6,8.7,0.4,0.1
羞羞的铁拳,宋阳 / 张吃鱼,艾伦,2017,100,中国大陆,喜剧 / 奇幻,7.0,310074,12.4,37.3,40.2,8.1,1.9
春光乍泄,王家卫,张国荣,1997,96,香港 / 日本 / 韩国,剧情 / 爱情 / 同性,8.8,259752,52.2,36.9,10.0,0.7,0.2
了不起的盖茨比,巴兹·鲁赫曼,莱昂纳多·迪卡普里奥,2013,143,澳大利亚 / 美国,剧情 / 爱情,7.7,276991,21.0,46.3,29.0,3.2,0.5
色，戒,李安,梁朝伟,2007,158,美国 / 中国大陆 / 台湾 / 香港,剧情 / 爱情 / 情色,8.2,255725,33.3,44.1,20.5,1.7,0.4
变形金刚,迈克尔·贝,希亚·拉博夫,2007,144,美国,动作 / 科幻,8.1,246837,30.3,48.0,19.5,1.7,0.5
云图,汤姆·提克威 / 拉娜·沃卓斯基 / 莉莉·沃卓斯基,汤姆·汉克斯,2013,134,德国 / 美国 / 香港 / 中国大陆 / 新加坡,剧情 / 科幻 / 悬疑,8.0,276923,31.6,43.0,21.1,3.3,1.0
敦刻尔克,克里斯托弗·诺兰,菲恩·怀特海德,2017,107,英国 / 法国 / 美国 / 荷兰,剧情 / 历史 / 战争,8.4,305588,40.1,44.2,13.9,1.3,0.4
我的少女时代,陈玉珊,宋芸桦,2015,134,台湾,喜剧 / 爱情,7.8,291885,27.3,42.9,24.8,3.8,1.3
幽灵公主,宫崎骏,松田洋治,1997,134,日本,动作 / 爱情 / 动画 / 战争 / 奇幻 / 冒险,8.8,246258,51.4,37.7,10.3,0.5,0.1
无人区,宁浩,徐峥,2013,117,中国大陆,剧情 / 犯罪 / 西部,8.1,273213,29.0,50.3,18.6,1.6,0.5
碟中谍4,布拉德·伯德,汤姆·克鲁斯,2012,133,美国,动作 / 惊悚 / 冒险,8.2,260390,29.3,53.7,16.1,0.8,0.1
甜蜜蜜,陈可辛,黎明,2015,118,香港,剧情 / 爱情,8.8,241177,49.3,40.2,9.9,0.5,0.1
